,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Squad
285,Callum Bates,ENG,MF,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
286,Asmir Begović,BIH,GK,37.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
287,Coby Ebere,GER,MF,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
288,Isaac Heath,ENG,MF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
289,Neal Maupay,FRA,"FW,MF",27.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
290,Jenson Metcalfe,ENG,MF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
291,Martin Sherif,NED,FW,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
292,João Virgínia,POR,GK,24.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
293,Reece Welch,ENG,DF,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
294,Bernd Leno,GER,GK,32.0,38,38,3420,38.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,Fulham
295,Antonee Robinson,USA,DF,26.0,36,35,3167,35.2,0.0,10.0,10.0,0.0,0.0,0.0,8.0,0.0,Fulham
296,Alex Iwobi,NGA,"FW,MF",28.0,38,35,2981,33.1,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0,Fulham
297,Calvin Bassey,NGA,DF,24.0,35,34,3074,34.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,Fulham
298,Raúl Jiménez,MEX,FW,33.0,38,30,2494,27.7,12.0,3.0,15.0,9.0,3.0,3.0,4.0,0.0,Fulham
299,Joachim Andersen,DEN,DF,28.0,29,29,2583,28.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,Fulham
300,Saša Lukić,SRB,MF,27.0,30,28,2344,26.0,0.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,Fulham
301,Sander Berge,NOR,MF,26.0,31,26,2224,24.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,Fulham
302,Emile Smith Rowe,ENG,MF,24.0,34,25,2043,22.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,Fulham
303,Andreas Pereira,BRA,MF,28.0,33,25,2013,22.4,2.0,4.0,6.0,2.0,0.0,1.0,7.0,0.0,Fulham
304,Kenny Tete,NED,DF,28.0,22,21,1774,19.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,Fulham
305,Adama Traoré,ESP,"FW,MF",28.0,36,18,1772,19.7,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0,Fulham
306,Timothy Castagne,BEL,DF,28.0,24,17,1649,18.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Fulham
307,Issa Diop,FRA,DF,27.0,21,15,1339,14.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Fulham
